distribution,size,randomized_quicksort,deterministic_quicksort
random,100,5.9699988923966885e-05,5.030003376305103e-05
random,500,0.0003402000293135643,0.0003108000382781029
random,1000,0.0007205000147223473,0.000668700085952878
random,2000,0.0014945000875741243,0.0015064999461174011
random,5000,0.005474300007335842,0.004923700005747378
sorted,100,9.50000248849392e-05,0.0002253999700769782
sorted,500,0.0006235999753698707,0.004947399953380227
sorted,1000,0.0009047999046742916,
sorted,2000,0.002902099979110062,
sorted,5000,0.013622200000099838,
reverse,100,0.00010080006904900074,0.00029280001763254404
reverse,500,0.00119570002425462,0.0068573999451473355
reverse,1000,0.0014720000326633453,
reverse,2000,0.0028201999375596642,
reverse,5000,0.00416759995277971,
repeated,100,8.359993807971478e-05,5.250005051493645e-05
repeated,500,0.000916799996048212,0.0005853000329807401
repeated,1000,0.003475200035609305,0.0021487000631168485
repeated,2000,0.012001199997030199,0.007149000070057809
repeated,5000,0.07654679997358471,0.04543599998578429
